t_s,hip_deg,hip_vel_dps,knee_deg,knee_vel_dps,ankle_deg,ankle_vel_dps,foot_strike,mid_swing,toe_off,steady_state
0.78125,-29.2649,-26.2434,33.8144,-107.169,-0.468869,30.0551,0,0,0,1
0.785156,-29.3669,-26.048,33.3923,-108.797,-0.350316,30.7698,0,0,0,1
0.789062,-29.4684,-25.7052,32.9645,-110.708,-0.228495,31.8469,0,0,0,1
0.792969,-29.5677,-25.1358,32.5274,-112.593,-0.101528,33.077,0,0,0,1
0.796875,-29.6647,-24.4174,32.0849,-114.544,0.0299024,34.7762,0,0,0,1
0.800781,-29.7584,-23.6833,31.6326,-116.542,0.170144,36.9953,0,0,0,1
0.804688,-29.8497,-23.1945,31.1745,-118.018,0.318909,39.0692,0,0,0,1
0.808594,-29.9396,-22.8363,30.7106,-119.329,0.475352,40.7606,0,0,0,1
0.8125,-30.0281,-22.2426,30.2423,-120.791,0.637331,42.1379,0,0,0,1
0.816406,-30.1134,-21.4045,29.767,-122.567,0.804534,43.1523,0,0,0,1
0.820312,-30.1954,-20.2973,29.2848,-124.606,0.974437,44.0505,0,0,0,1
0.824219,-30.2719,-18.9543,28.7936,-126.776,1.14866,45.1658,0,0,0,1
0.828125,-30.3434,-17.7306,28.2944,-129.059,1.32727,46.2623,0,0,0,1
0.832031,-30.4105,-15.9085,27.7854,-132.004,1.51006,46.2496,0,0,0,1
0.835938,-30.4677,-13.4916,27.2632,-135.22,1.68857,43.672,0,0,0,1
0.839844,-30.5159,-11.1063,26.729,-138.511,1.85122,39.8979,0,0,0,1
0.84375,-30.5545,-8.73805,26.1811,-141.774,2.00026,35.9214,0,0,0,1
0.847656,-30.5841,-5.81149,25.6215,-145.57,2.13184,31.6411,0,0,0,1
0.851562,-30.5999,-2.71892,25.0439,-149.485,2.24744,26.1246,0,0,0,1
0.855469,-30.6054,-0.645731,24.4537,-152.236,2.33593,19.8137,0,0,0,1
0.859375,-30.6049,0.57245,23.8547,-154.235,2.40222,14.2115,0,0,0,1
0.863281,-30.6009,1.79509,23.2488,-156.051,2.44695,9.53376,0,0,0,1
0.867188,-30.5909,3.02703,22.6356,-157.576,2.4767,5.96165,0,0,0,1
0.871094,-30.5772,3.96214,22.0179,-158.723,2.49352,3.37173,0,0,0,1
0.875,-30.5599,4.78212,21.3956,-159.825,2.50304,2.08828,0,0,0,1
0.878906,-30.5399,5.82801,20.7693,-160.695,2.50983,1.69852,0,0,0,1
0.882812,-30.5144,6.96502,20.1403,-160.986,2.51631,2.24611,0,0,0,1
0.886719,-30.4855,7.82162,19.5117,-161.294,2.52738,4.66575,0,0,0,1
0.890625,-30.4533,8.75438,18.8803,-162.043,2.55276,7.69351,0,0,0,1
0.894531,-30.4171,9.2515,18.2458,-161.889,2.58748,9.51289,0,0,0,1
0.898438,-30.381,9.10199,17.6156,-161.146,2.62707,11.1617,0,0,0,1
0.902344,-30.346,8.94753,16.9869,-160.453,2.67468,13.2029,0,0,0,1
0.90625,-30.3111,9.02226,16.3621,-159.64,2.73021,14.8468,0,0,0,1
0.910156,-30.2755,10.0853,15.7398,-159.622,2.79066,16.2149,0,0,0,1
0.914062,-30.2323,12.0497,15.1152,-159.791,2.85688,17.0493,0,0,0,1
0.917969,-30.1814,14.2067,14.4915,-159.645,2.92385,17.6052,0,0,0,1
0.921875,-30.1214,16.7636,13.868,-159.908,2.99442,18.5282,0,0,0,1
0.925781,-30.0504,19.7056,13.2423,-160.484,3.06859,19.5321,0,0,0,1
0.929688,-29.9674,22.1569,12.6143,-160.089,3.147,19.5117,0,0,0,1
0.933594,-29.8773,23.9612,11.9917,-158.693,3.22102,18.6992,0,0,0,1
0.9375,-29.7802,25.6083,11.3746,-156.731,3.29308,18.5897,0,0,0,1
0.941406,-29.6773,26.8332,10.7673,-154.435,3.36624,19.0645,0,0,0,1
0.945312,-29.5706,28.4201,10.1682,-152.378,3.44201,18.8071,0,0,0,1
0.949219,-29.4552,30.471,9.57697,-150.246,3.51316,17.8208,0,0,0,1
0.953125,-29.3326,32.2269,8.99444,-147.624,3.58123,16.7145,0,0,0,1
0.957031,-29.2035,32.8776,8.42373,-144.016,3.64373,16.5168,0,0,0,1
0.960938,-29.0757,32.2583,7.86939,-139.043,3.71026,16.9515,0,0,0,1
0.964844,-28.9515,31.7062,7.33753,-133.35,3.77616,17.0459,0,0,0,1
0.96875,-28.8281,31.4263,6.82766,-127.912,3.84342,17.0777,0,0,0,1
0.972656,-28.706,31.3273,6.33828,-122.868,3.90957,17.1438,0,0,0,1
0.976562,-28.5833,31.5178,5.86781,-117.745,3.97735,17.1373,0,0,0,1
0.980469,-28.4598,32.1734,5.41845,-112.903,4.04345,18.0019,0,0,0,1
0.984375,-28.332,33.3576,4.98581,-107.521,4.11798,17.968,0,0,0,1
0.988281,-28.1992,34.7355,4.5785,-102.247,4.18381,17.0241,0,0,0,1
0.992188,-28.0606,35.8332,4.18706,-97.4573,4.25097,17.2471,0,0,0,1
0.996094,-27.9192,36.3799,3.81716,-91.9764,4.31855,18.4976,0,0,0,1
1,-27.7764,36.6906,3.46854,-85.5019,4.39547,18.7755,0,0,0,1
1.00391,-27.6326,37.1145,3.14922,-79.0582,4.46522,17.4834,0,0,0,1
1.00781,-27.4865,37.8521,2.85093,-73.7871,4.53205,16.3978,0,0,0,1
1.01172,-27.3369,38.6607,2.5728,-68.6818,4.59332,15.5409,0,0,0,1
1.01562,-27.1845,39.424,2.31439,-63.2318,4.65346,14.1858,0,0,0,1
1.01953,-27.0289,40.133,2.07883,-56.3314,4.70414,11.3298,0,0,0,1
1.02344,-26.871,40.1886,1.87433,-48.5491,4.74197,8.5698,0,0,0,1
1.02734,-26.715,39.5048,1.69956,-40.5984,4.77109,6.50652,0,0,0,1
1.03125,-26.5623,38.4137,1.55717,-31.6694,4.7928,4.8865,0,0,0,1
1.03516,-26.4149,36.4993,1.45216,-20.3902,4.80926,1.73846,0,0,0,1
1.03906,-26.2772,35.4863,1.39789,-8.4682,4.80638,-2.44733,0,0,0,1
1.04297,-26.1377,36.2427,1.38601,1.46088,4.79014,-4.79599,0,0,0,1
1.04688,-25.9941,37.2891,1.4093,11.5806,4.76891,-4.01832,0,0,0,1
1.05078,-25.8464,37.776,1.47648,23.2939,4.75875,3.27425,0,0,0,1
1.05469,-25.699,39.0331,1.59127,33.7443,4.79449,13.1148,0,0,0,1
1.05859,-25.5415,41.1489,1.74009,41.3085,4.8612,19.0439,0,0,0,1
1.0625,-25.3775,43.0292,1.91397,47.1883,4.94326,10.1034,0,0,0,1
1.06641,-25.2053,45.0779,2.10872,51.8686,4.94013,-3.99904,0,0,0,1
1.07031,-25.0254,47.7318,2.31917,55.7463,4.91202,-2.24405,0,0,0,1
1.07422,-24.8324,51.7217,2.54421,57.5093,4.9226,8.05362,0,0,0,1
1.07812,-24.6213,58.33,2.76843,53.5046,4.97493,28.0407,0,0,0,1
1.08203,-24.3768,73.0493,2.96219,38.2242,5.14166,62.2142,0,0,0,1
1.08594,-24.0507,89.3513,3.06704,15.1495,5.46095,104.689,0,0,0,1
1.08984,-23.6787,92.542,3.08054,-1.1922,5.95949,142.758,0,0,0,1
1.09375,-23.3277,77.5841,3.05773,-2.06421,6.57618,151.228,0,0,0,1
1.09766,-23.0727,46.0087,3.06441,15.9874,7.14088,118,0,0,0,1
1.10156,-22.9683,15.4108,3.18262,40.2088,7.49799,73.8244,0,0,0,1
1.10547,-22.9523,-1.74786,3.37852,56.709,7.71759,53.1583,0,0,0,1
1.10938,-22.982,-11.2423,3.62563,67.1194,7.91326,47.8204,0,0,0,1
1.11328,-23.0401,-18.4105,3.90286,75.294,8.09117,34.9768,0,0,0,1
1.11719,-23.1258,-27.2309,4.21383,86.4866,8.1865,12.1415,0,0,0,1
1.12109,-23.2528,-39.2221,4.57849,104.729,8.18602,-9.97976,0,0,0,1
1.125,-23.4322,-54.7151,5.03197,127.967,8.10854,-21.9494,0,0,0,1
1.12891,-23.6803,-76.1766,5.57817,155.189,8.01455,-26.1522,0,0,0,1
1.13281,-24.0273,-95.6781,6.2443,179.515,7.90424,-31.1484,0,0,0,1
1.13672,-24.4277,-104.536,6.98054,192.864,7.77122,-34.8799,0,0,0,1
1.14062,-24.8439,-104.608,7.75096,194.355,7.63176,-28.1532,0,0,0,1
1.14453,-25.2449,-95.4115,8.49883,182.231,7.55128,-12.766,0,0,0,1
1.14844,-25.5893,-79.7885,9.17455,161.852,7.53203,0.943545,0,0,0,1
1.15234,-25.8682,-61.3426,9.76322,137.923,7.55865,9.40501,0,0,0,1
1.15625,-26.0685,-41.5727,10.252,113.397,7.6055,13.8477,0,0,0,1
1.16016,-26.193,-21.1483,10.6491,89.6508,7.66683,16.9614,0,0,0,1
1.16406,-26.2337,-2.41893,10.9523,69.1651,7.73801,19.3452,0,0,0,1
1.16797,-26.2119,14.5989,11.1894,52.1535,7.81796,21.1215,0,0,0,1
1.17188,-26.1196,33.4515,11.3598,33.8077,7.90301,21.1859,0,0,0,1
1.17578,-25.9505,55.3506,11.4535,12.1761,7.98346,19.162,0,0,0,1
1.17969,-25.6872,77.0284,11.4549,-8.77755,8.0527,16.928,0,0,0,1
1.18359,-25.3488,95.3094,11.3849,-25.9752,8.1157,14.8845,0,0,0,1
1.1875,-24.9427,111.572,11.252,-41.9747,8.16898,13.366,0,0,0,1
